BKI,Bandikui Junction ,6 
DO,Dausa ,2 
GADJ,Jaipur Gandhinagar ,2 
VG,Viramgam Junction ,5 
DHG,Dhrangadhra Junction ,3 
HVD,Halvad ,1 
SIOB,Samakhiali Junction ,3 
BCOB,Bhachau ,3 
GIMB,Gandhidham Junction ,3 
AI,Adipur Junction ,2 
AJE,Anjar ,1 
BHUJ,Bhuj ,3 
BLDI,Bhildi Junction ,3 
DHN,Dhanbad Junction ,8 
CRP,Chandrapura Junction ,3 
BKSC,Bokaro Steel City ,3 
PNW,Pundag ,3 
JAA,Jhalida ,3 
MURI,Muri Junction ,3 
RNC,Ranchi Junction ,6 
HTE,Hatia ,3 
BANO,Bano ,2 
BNDM,Bondamunda ,2 
RGL,Rengali ,2 
BRPL,Barpali ,2 
BUDM,Badmal ,2 
RPRD,Rupra Road ,2 
AMB,Ambodala ,2 
SPRD,Singapur Road ,2 
PVP,Parvatipuram ,3 
KTV,Kottavalasa Junction ,5 
SCM,Simhachalam ,2 
VSKP,Visakhapatnam Junction ,8 
DVD,Duvvada ,4 
AKP,Anakapalle ,3 
YLM,Elamanchili ,2 
NRP,Narsipatnam Road ,2 
TUNI,Tuni ,2 
ANV,Annavaram ,3 
GLP,Gollaprolu ,3 
PAP,Pithapuram ,2 
SLO,Samalkot Junction ,3 
APT,Anaparti ,3 
DWP,Dwarapudi ,3 
RJY,Rajahmundry ,5 
GVN,Godavari ,2 
KVR,Kovvur ,3 
NDD,Nidadavolu Junction ,3 
TDD,Tadepalligudem ,3 
EE,Eluru ,3 
NDO,Nidubrolu ,3 
BPP,Bapatla ,3 
CJM,Chinnaganjam ,3 
SKM,Singarayakonda ,2 
KVZ,Kavali ,4 
BTTR,Bitragunta ,3 
NYP,Nayadupeta ,3 
SPE,Sullurupeta ,3 
TRL,Tiruvallur ,6 
AJJ,Arakkonam Junction ,8 
VN,Vaniyambadi ,3 
TPT,Tirupattur ,2 
PTJ,Podanur Junction ,4 
PNQ,Thrissur Punkunnam ,2 
DINR,Divine Nagar ,2 
IPL,Idappally ,2 
TUVR,Turavur ,2 
SURI,Siuri ,3 
SNT,Sainthia Junction ,4 
RPH,Rampurhat ,3 
PKR,Pakur ,2 
MLDT,Malda Town ,7 
BOE,Barsoi Junction ,2 
