BRPT    ,    BIRAPATTI        ,  http://indiarailinfo.com/arrivals/birapatti-brpt/621
PSA     ,    PALASA           ,  http://indiarailinfo.com/arrivals/palasa-psa/225
HCR     ,    HARISCHANDRPUR   ,  NULL
LGL     ,    LALGOLA          ,  http://indiarailinfo.com/arrivals/lalgola-lgl/1171
CCT     ,    KAKINADA TOWN    ,  http://indiarailinfo.com/arrivals/kakinada-town-junction-cct/1200
BZA     ,    VIJAYAWADA JN    ,  http://indiarailinfo.com/arrivals/vijayawada-junction-bza/29
CKU     ,    CHAKULIA         ,  http://indiarailinfo.com/arrivals/chakulia-cku/1944
KDQ     ,    KADIPUR          ,  http://indiarailinfo.com/arrivals/kadipur-kdq/3445
PKO     ,    PALAKOLLU        ,  http://indiarailinfo.com/arrivals/palakollu-pko/2078
MYS     ,    MYSORE JN        ,  http://indiarailinfo.com/arrivals/mysuru-junction-mysore-mys/1430
TLGP    ,    TALGUPPA         ,  http://indiarailinfo.com/arrivals/talguppa-tlgp/3906
VDE     ,    VEDAYAPALEM      ,  http://indiarailinfo.com/arrivals/vedayapalem-vde/2253
CGS     ,    CHANGSARI        ,  NULL
RIG     ,    RAIGARH          ,  http://indiarailinfo.com/arrivals/raigarh-rig/176
RPAR    ,    RUPNAGAR         ,  http://indiarailinfo.com/arrivals/arrivals-rupnagar-rpar/1973
PK      ,    PAKNI            ,  NULL
PRR     ,    PURULIA JN       ,  http://indiarailinfo.com/arrivals/purulia-junction-prr/1468
VRM     ,    VARNAMA          ,  http://indiarailinfo.com/arrivals/varnama-vrm/3172
NLR     ,    NELLORE          ,  http://indiarailinfo.com/arrivals/nellore-nlr/33
BKG     ,    BANKA GHAT       ,  http://indiarailinfo.com/arrivals/banka-ghat-bkg/1418
PND     ,    PENDRA ROAD      ,  http://indiarailinfo.com/arrivals/pendra-road-pnd/520
KNPS    ,    KENDPOSI         ,  http://indiarailinfo.com/arrivals/kendposi-knps/3902
KKP     ,    KOT KAPURA       ,  http://indiarailinfo.com/arrivals/kot-kapura-junction-kkp/107
IRP     ,    IRAVIPURAM       ,  NULL
RJY     ,    RAJAHMUNDRY      ,  http://indiarailinfo.com/arrivals/rajahmundry-rjy/413
PAVP    ,    P AVATAPALLE     ,  NULL
TKBG    ,    TEKKABIGHA       ,  NULL
MA      ,    MADHA            ,  http://indiarailinfo.com/arrivals/maonda-mada/7409
HMI     ,    HIMMATANA        ,  http://indiarailinfo.com/arrivals/himmatana-hmi/5532
KSP     ,    KISHANPUR        ,  http://indiarailinfo.com/arrivals/kishanpur-ksp/2290
MLDT    ,    MALDA TOWN       ,  http://indiarailinfo.com/arrivals/malda-town-mldt/441
BBS     ,    BHUBANESWAR      ,  http://indiarailinfo.com/arrivals/bhubaneswar-bbs/238
KLQ     ,    KILIKOLLUR       ,  NULL
PTK     ,    PATHANKOT        ,  http://indiarailinfo.com/arrivals/pathankot-junction-ptk/92
SRW     ,    SHRI KARANPUR    ,  http://indiarailinfo.com/arrivals/shri-karanpur-srw/4028
BBAI    ,    BHADBHUNJA       ,  http://indiarailinfo.com/arrivals/bhadbhunja-bbai/5700
BLQR    ,    BILASPUR ROAD    ,  http://indiarailinfo.com/arrivals/bilaspur-road-blqr/7029
DEOR    ,    DIYODAR          ,  http://indiarailinfo.com/arrivals/diyodar-deor/5368
SNGN    ,    SANGANER         ,  http://indiarailinfo.com/arrivals/sanganer-sngn/3231
DND     ,    DANDUPUR         ,  http://indiarailinfo.com/arrivals/dandupur-dnd/1632
DUBH    ,    DUBAHA           ,  http://indiarailinfo.com/arrivals/dubaha-dubh/2309
SRC     ,    SANTRAGACHI JN   ,  http://indiarailinfo.com/arrivals/santragachi-junction-src/1724
VRE     ,    VAREDIYA         ,  http://indiarailinfo.com/arrivals/varediya-vre/3175
TKH     ,    THAKURTOTA       ,  NULL
BC      ,    BAREILLY CITY    ,  http://indiarailinfo.com/arrivals/bareilly-city-bc/258
NRW     ,    NARWANA JN       ,  NULL
MR      ,    MARTUR           ,  http://indiarailinfo.com/arrivals/arrivals-martur-mr/3496
ANE     ,    ANANTARAJUPET    ,  http://indiarailinfo.com/arrivals/anantarajupet-ane/4735
CCH     ,    CHINCHVAD        ,  http://indiarailinfo.com/arrivals/chinchwad-cch/2230
BHTA    ,    BHATIYA          ,  http://indiarailinfo.com/arrivals/bhatiya-bhta/2441
SGS     ,    SHOGHI           ,  http://indiarailinfo.com/arrivals/shoghi-sgs/2866
VVB     ,    VIVEKA VIHAR     ,  http://indiarailinfo.com/arrivals/arrivals-vivek-vihar-vvb/1657
BLWR    ,    BILESHWAR        ,  http://indiarailinfo.com/arrivals/bileshwar-blwr/4222
LGDH    ,    LALAGUDA GATE    ,  http://indiarailinfo.com/arrivals/lalaguda-gate-lgdh/3447
MSR     ,    MASUR            ,  http://indiarailinfo.com/arrivals/masur-msr/2239
CAI     ,    CHANPATIA        ,  http://indiarailinfo.com/arrivals/chanpatia-cai/1923
AMQ     ,    AMMUGUDA         ,  http://indiarailinfo.com/arrivals/ammuguda-halt-amq/3451
RJQ     ,    RAJENDRANAGAR    ,  http://indiarailinfo.com/arrivals/rajendra-nagar-rjq/3692
CKX     ,    CHAKUR           ,  http://indiarailinfo.com/arrivals/chakur-ckx/3471
